Part,Value,Device,Package,Description,Link to Part Website,Store Name,Quantity,Unit Price,Total Price,
C31,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C32,10uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R60J106ME44D/?qs=sGAEpiMZZMs0AnBnWHyRQIRdmwuhZOTQAJ7SYjABJ90%3d,Mouser,,0.27,,
C33,4.7uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,
C34,22uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL05A226MQ5QUNC/1276-6834-1-ND/5961693,DigiKey,,$0.69,,
C35,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C36,22uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL05A226MQ5QUNC/1276-6834-1-ND/5961693,DigiKey,,$0.69,,
C37,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C38,4.7uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,
C39,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C40,4.7uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,
C41,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C42,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C43,10uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R60J106ME44D/?qs=sGAEpiMZZMs0AnBnWHyRQIRdmwuhZOTQAJ7SYjABJ90%3d,Mouser,,0.27,,
C44,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C45,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C46,47uF,0.1UF-0603-25V-5%,603,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/Murata-Electronics/ZRB18AR60J476ME01L/?qs=sGAEpiMZZMs0AnBnWHyRQO9VYadaKTO%252bP4WrvUq8FwyMAQotVEzL0w%3d%3d,Mouser,,$0.67,,
C47,6.2pF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GQM1885C2A6R2CB01D/?qs=sGAEpiMZZMs0AnBnWHyRQEzybnecWqjRBc23mM6lmu0%3d,Mouser,,$0.55,,
C48,6.2pF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GQM1885C2A6R2CB01D/?qs=sGAEpiMZZMs0AnBnWHyRQEzybnecWqjRBc23mM6lmu0%3d,Mouser,,$0.55,,
C49,47uF,0.1UF-0603-25V-5%,603,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/Murata-Electronics/ZRB18AR60J476ME01L/?qs=sGAEpiMZZMs0AnBnWHyRQO9VYadaKTO%252bP4WrvUq8FwyMAQotVEzL0w%3d%3d,Mouser,,$0.67,,
C50,1.0pF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/AVX/MP023J1R0BBSGTR/500/?qs=sGAEpiMZZMs0AnBnWHyRQB295tntAovf550Q6Yz1RnOxV0Izh1q%2ffw%3d%3d,Mouser,,$5.08,,
C51,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
